Дата,Тип документа,Название,Количество,Цена,Сумма,Валовая прибыль (руб),Валовая прибыль (%),Сотрудник,Статус
01.01.2025 - 12:11,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,482,482,277,57.46887966804979,Петров Роман,
01.01.2025 - 16:13,Заказ,Замена разъема зарядки (MicroUSB/Type-C),1,1275,1275,1172,91.92156862745098,Иванов Сергей,Выдан
02.01.2025 - 11:27,Заказ,Установка Windows 10/11 + Драйвера,1,1295,1295,1295,100.0,Сидоров Алексей,Выдан
02.01.2025 - 13:23,Заказ,Диагностика,1,476,476,476,100.0,Сидоров Алексей,Выдан
02.01.2025 - 13:28,Заказ,SSD накопитель Kingston 240GB,1,2178,2178,681,31.267217630853995,Сидоров Алексей,Выдан
02.01.2025 - 16:33,Продажа,Блок питания Apple 20W (Copy),1,1240,1240,842,67.90322580645162,Петров Роман,
02.01.2025 - 16:36,Продажа,Чехол силиконовый прозрачный,1,277,277,215,77.6173285198556,Иванов Сергей,
02.01.2025 - 17:40,Заказ,Кабель USB - Lightning (Foxconn),2,613,1226,922,75.20391517128874,Администратор,Выдан
02.01.2025 - 18:05,Заказ,Дисплей iPhone 11 (Оригинал переклей),1,5415,5415,1589,29.344413665743307,Иванов Сергей,Выдан
02.01.2025 - 18:42,Заказ,Диагностика,1,549,549,549,100.0,Иванов Сергей,Выдан
02.01.2025 - 19:53,Заказ,Установка Windows 10/11 + Драйвера,1,1141,1141,1141,100.0,Иванов Сергей,Выдан
04.01.2025 - 11:08,Продажа,Защитное стекло 3D для iPhone 11/XR,1,498,498,447,89.7590361445783,Сидоров Алексей,
04.01.2025 - 12:57,Заказ,Наклейка защитного стекла (Услуга),1,189,189,189,100.0,Сидоров Алексей,Выдан
04.01.2025 - 14:01,Заказ,Установка Windows 10/11 + Драйвера,1,1131,1131,1131,100.0,Сидоров Алексей,Выдан
04.01.2025 - 19:20,Заказ,Аккумулятор Samsung Galaxy A51 (EB-BA515),1,1172,1172,640,54.60750853242321,Петров Роман,Выдан
05.01.2025 - 10:54,Заказ,Чехол силиконовый прозрачный,1,304,304,242,79.60526315789474,Администратор,Выдан
05.01.2025 - 12:35,Заказ,Чехол силиконовый прозрачный,2,307,614,500,81.43322475570032,Администратор,Выдан
05.01.2025 - 16:38,Продажа,Кабель USB - Lightning (Foxconn),1,648,648,493,76.08024691358025,Сидоров Алексей,
05.01.2025 - 19:39,Заказ,Дисплей iPhone 11 (Копия AAA),1,2655,2655,1258,47.38229755178908,Администратор,Выдан
06.01.2025 - 15:30,Заказ,SSD накопитель Kingston 240GB,1,2144,2144,719,33.53544776119403,Петров Роман,Выдан
06.01.2025 - 17:51,Заказ,Чехол силиконовый прозрачный,1,285,285,228,80.0,Иванов Сергей,Выдан
07.01.2025 - 12:36,Заказ,Чехол силиконовый прозрачный,1,276,276,218,78.98550724637681,Администратор,Выдан
07.01.2025 - 12:49,Заказ,Дисплей iPhone 11 (Копия AAA),1,2563,2563,1105,43.113538821693325,Сидоров Алексей,Выдан
07.01.2025 - 13:03,Заказ,16GB USB 2.0 Flash Drive SmartBuy,1,422,422,226,53.55450236966824,Сидоров Алексей,Выдан
07.01.2025 - 15:59,Продажа,16GB USB 2.0 Flash Drive SmartBuy,1,465,465,264,56.774193548387096,Сидоров Алексей,
08.01.2025 - 13:51,Заказ,Чехол силиконовый прозрачный,1,306,306,245,80.06535947712419,Петров Роман,Выдан
